coach_qid,startDate,endDate,origin,League
Q294718,2003-06-30T00:00:00Z,2003-09-21T00:00:00Z,Italian,Italy
Q41244,2021-11-07T00:00:00Z,2022-01-15T00:00:00Z,Foreign,Italy
Q4734615,2019-06-01T00:00:00Z,2019-10-21T00:00:00Z,Italian,Italy
Q494319,2017-02-19T00:00:00Z,2017-04-10T00:00:00Z,Italian,Italy
Q980528,1988-07-01T00:00:00Z,1990-06-30T00:00:00Z,Italian,Italy
Q980528,1993-12-22T00:00:00Z,1994-11-20T00:00:00Z,Italian,Italy
Q980528,2001-02-27T00:00:00Z,2001-12-29T00:00:00Z,Italian,Italy
Q235068,1986-07-01T00:00:00Z,1987-06-30T00:00:00Z,Italian,Italy
Q235068,1987-07-01T00:00:00Z,1988-01-25T00:00:00Z,Italian,Italy
Q235068,1988-05-09T00:00:00Z,1988-06-30T00:00:00Z,Italian,Italy
Q1080952,2001-12-20T00:00:00Z,2002-06-30T00:00:00Z,Italian,Italy
Q1080952,2005-11-11T00:00:00Z,2006-06-13T00:00:00Z,Italian,Italy
Q1080952,2007-11-13T00:00:00Z,2007-12-24T00:00:00Z,Italian,Italy
Q113652572,2020-08-01T00:00:00Z,2021-02-01T00:00:00Z,Italian,Italy
Q1280931,1974-12-09T00:00:00Z,1975-06-30T00:00:00Z,Italian,Italy
Q1280931,1993-07-01T00:00:00Z,1993-09-05T00:00:00Z,Italian,Italy
Q15149,1994-01-01T00:00:00Z,1996-01-01T00:00:00Z,Foreign,Italy
Q15149,1998-01-01T00:00:00Z,1999-01-01T00:00:00Z,Foreign,Italy
Q169092,2014-07-01T00:00:00Z,2014-12-23T00:00:00Z,Foreign,Italy
Q169092,2015-03-09T00:00:00Z,2015-04-21T00:00:00Z,Foreign,Italy
Q235068,1988-07-01T00:00:00Z,1991-06-30T00:00:00Z,Italian,Italy
Q235068,2022-12-23T00:00:00Z,2024-05-23T00:00:00Z,Italian,Italy
Q2631653,1997-07-01T00:00:00Z,1999-06-30T00:00:00Z,Italian,Italy
Q2631653,2002-07-01T00:00:00Z,2003-11-24T00:00:00Z,Italian,Italy
Q2704759,2006-07-01T00:00:00Z,2006-12-17T00:00:00Z,Italian,Italy
Q2704759,2007-02-26T00:00:00Z,2007-11-13T00:00:00Z,Italian,Italy
Q294302,2020-03-03T00:00:00Z,2020-08-02T00:00:00Z,Italian,Italy
Q294718,2010-11-16T00:00:00Z,2011-08-12T00:00:00Z,Italian,Italy
Q354529,2008-04-29T00:00:00Z,2010-03-13T00:00:00Z,Italian,Italy
Q370838,2021-09-15T00:00:00Z,2022-05-02T00:00:00Z,Italian,Italy
Q3940276,2018-01-01T00:00:00Z,2020-01-01T00:00:00Z,Italian,Italy
Q396154,2020-01-01T00:00:00Z,2021-02-01T00:00:00Z,Italian,Italy
Q44420,1995-07-01T00:00:00Z,1996-02-13T00:00:00Z,Italian,Italy
Q113652572,2015-07-01T00:00:00Z,2018-06-01T00:00:00Z,Italian,Italy
Q113652572,2021-07-01T00:00:00Z,2022-07-01T00:00:00Z,Italian,Italy
Q113652572,2024-02-01T00:00:00Z,2024-06-01T00:00:00Z,Italian,Italy
Q116980,2019-12-11T00:00:00Z,2021-05-23T00:00:00Z,Italian,Italy
Q144048,2013-05-27T00:00:00Z,2015-06-01T00:00:00Z,Foreign,Italy
Q169092,2000-07-01T00:00:00Z,2000-11-15T00:00:00Z,Foreign,Italy
Q174614,2018-05-23T00:00:00Z,2019-12-10T00:00:00Z,Italian,Italy
Q235068,1991-07-01T00:00:00Z,1992-11-22T00:00:00Z,Italian,Italy
Q2537282,1996-07-01T00:00:00Z,1997-04-30T00:00:00Z,Italian,Italy
Q2537282,2003-11-10T00:00:00Z,2004-06-30T00:00:00Z,Italian,Italy
Q258115,2024-01-06T00:00:00Z,,Foreign,Italy
Q2631653,2004-07-01T00:00:00Z,2005-01-16T00:00:00Z,Italian,Italy
Q26580,2024-06-05T00:00:00Z,,Italian,Italy
Q294718,2009-03-10T00:00:00Z,2009-10-06T00:00:00Z,Italian,Italy
Q3052298,2000-11-15T00:00:00Z,2001-05-23T00:00:00Z,Italian,Italy
Q310813,2021-06-01T00:00:00Z,2023-08-18T00:00:00Z,Italian,Italy
Q370838,2009-10-06T00:00:00Z,2013-05-20T00:00:00Z,Italian,Italy
Q370838,2023-11-14T00:00:00Z,2024-02-19T00:00:00Z,Italian,Italy
Q3852721,2015-05-11T00:00:00Z,2018-05-23T00:00:00Z,Italian,Italy
Q43304,1993-07-01T00:00:00Z,1994-06-30T00:00:00Z,Italian,Italy
Q613881,1961-01-01T00:00:00Z,1961-01-01T00:00:00Z,Italian,Italy
Q645692,1985-07-01T00:00:00Z,1989-06-30T00:00:00Z,Italian,Italy
Q645692,1992-11-22T00:00:00Z,1993-06-30T00:00:00Z,Italian,Italy
Q923131,2023-06-15T00:00:00Z,2023-11-14T00:00:00Z,Foreign,Italy
Q980528,2002-12-23T00:00:00Z,2003-03-11T00:00:00Z,Italian,Italy
Q169092,1987-07-01T00:00:00Z,1987-10-26T00:00:00Z,Foreign,Italy
Q174614,1996-01-01T00:00:00Z,1998-01-01T00:00:00Z,Italian,Italy
Q210491,2025-02-18T00:00:00Z,2025-06-01T00:00:00Z,Foreign,Italy
Q235068,2007-02-13T00:00:00Z,2007-06-30T00:00:00Z,Italian,Italy
Q294259,1985-07-01T00:00:00Z,1987-06-30T00:00:00Z,Italian,Italy
Q294259,2001-01-09T00:00:00Z,2001-02-01T00:00:00Z,Italian,Italy
Q294718,2012-01-09T00:00:00Z,2015-06-22T00:00:00Z,Italian,Italy
Q923088,2006-06-05T00:00:00Z,2007-02-12T00:00:00Z,Italian,Italy
Q116980,2017-07-01T00:00:00Z,2017-11-27T00:00:00Z,Italian,Italy
Q183108,1982-07-01T00:00:00Z,1986-06-30T00:00:00Z,Italian,Italy
Q1080952,2003-02-11T00:00:00Z,2003-06-30T00:00:00Z,Italian,Italy
Q116980,2013-06-19T00:00:00Z,2013-09-25T00:00:00Z,Italian,Italy
