coachName,nationality,nationality2,teamName,teamCountry
Roy Hodgson,United Kingdom,,West Bromwich Albion F.C.,United Kingdom
Roy Hodgson,United Kingdom,,F.C. Copenhagen,Denmark
Roy Hodgson,United Kingdom,,Blackburn Rovers F.C.,United Kingdom
Roy Hodgson,United Kingdom,,Bristol City F.C.,United Kingdom
Roy Hodgson,United Kingdom,,Crystal Palace F.C.,United Kingdom
Roy Hodgson,United Kingdom,,Crystal Palace F.C.,United Kingdom
Roy Hodgson,United Kingdom,,Grasshopper Club Zürich,Switzerland
Roy Hodgson,United Kingdom,,Malmö FF,Sweden
Roy Hodgson,United Kingdom,,Viking FK,Norway
Roy Hodgson,United Kingdom,,Emirates men's national football team,National
Roy Hodgson,United Kingdom,,Örebro SK,Sweden
Roy Hodgson,United Kingdom,,Watford F.C.,United Kingdom
Roy Hodgson,United Kingdom,,Udinese Calcio,Italy
Roy Hodgson,United Kingdom,,Neuchâtel Xamax FCS,Switzerland
Roy Hodgson,United Kingdom,,England men's national association football team,National
Roy Hodgson,United Kingdom,,Halmstads BK,Sweden
Roy Hodgson,United Kingdom,,Inter Milan,Italy
Roy Hodgson,United Kingdom,,Inter Milan,Italy
Mauro Tassotti,Italy,,AC Milan,Italy
Zdeněk Zeman,Czech Republic,,S.S.D. Licata 1931,Italy
Zdeněk Zeman,Czech Republic,,US Lecce,Italy
Zdeněk Zeman,Czech Republic,,US Lecce,Italy
Zdeněk Zeman,Czech Republic,,Calcio Foggia 1920,Italy
Zdeněk Zeman,Czech Republic,,Calcio Foggia 1920,Italy
Zdeněk Zeman,Czech Republic,,Calcio Foggia 1920,Italy
Zdeněk Zeman,Czech Republic,,FK Crvena zvezda,Serbia
Zdeněk Zeman,Czech Republic,,Cagliari Calcio,Italy
Zdeněk Zeman,Czech Republic,,Cagliari Calcio,Italy
Zdeněk Zeman,Czech Republic,,SS Lazio,Italy
Zdeněk Zeman,Czech Republic,,SSC Napoli,Italy
Zdeněk Zeman,Czech Republic,,Parma Calcio 1913,Italy
Zdeněk Zeman,Czech Republic,,Delfino Pescara 1936,Italy
Zdeněk Zeman,Czech Republic,,Delfino Pescara 1936,Italy
Zdeněk Zeman,Czech Republic,,A.S. Roma,Italy
Zdeněk Zeman,Czech Republic,,A.S. Roma,Italy
Zdeněk Zeman,Czech Republic,,A.C.R. Messina,Italy
Zdeněk Zeman,Czech Republic,,U.S. Avellino 1912,Italy
