coach_qid,team_qid,team_label,startDate,endDate,League
Q46741,Q38568,São Paulo FC,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,Brazil
Q46741,Q1543,AC Milan,2002-01-01T00:00:00Z,2003-01-01T00:00:00Z,Italy
Q46741,Q17479,Clube de Regatas do Flamengo,2002-01-01T00:00:00Z,2002-01-01T00:00:00Z,Brazil
Q258115,Q215163,Club Atlético Vélez Sarsfield,1987-01-01T00:00:00Z,1990-01-01T00:00:00Z,Argentina
Q258115,Q79800,Argentina men's national association football team,1988-01-01T00:00:00Z,2002-01-01T00:00:00Z,Argentina
Q258115,Q2462207,Argentina national under-23 football team,1988-01-01T00:00:00Z,1988-01-01T00:00:00Z,Argentina
Q258115,Q1187790,Argentina national under-20 football team,1989-01-01T00:00:00Z,1989-01-01T00:00:00Z,Argentina
Q258115,Q289613,Pisa SC,1990-01-01T00:00:00Z,1992-01-01T00:00:00Z,Italy
Q258115,Q10329,Sevilla FC,1992-01-01T00:00:00Z,1994-01-01T00:00:00Z,Spain
Q258115,Q8701,Atlético de Madrid,1994-01-01T00:00:00Z,1997-01-01T00:00:00Z,Spain
Q258115,Q631,Inter Milan,1997-01-01T00:00:00Z,1999-01-01T00:00:00Z,Italy
Q258115,Q2609,SS Lazio,1999-01-01T00:00:00Z,2003-01-01T00:00:00Z,Italy
Q258115,Q8701,Atlético de Madrid,2003-01-01T00:00:00Z,2005-01-01T00:00:00Z,Spain
Q258115,Q276533,Racing Club,2005-01-01T00:00:00Z,2006-01-01T00:00:00Z,Argentina
Q174614,Q2693,Parma Calcio 1913,1976-01-01T00:00:00Z,1979-01-01T00:00:00Z,Italy
Q174614,Q2739,A.S. Roma,1979-01-01T00:00:00Z,1987-01-01T00:00:00Z,Italy
Q174614,Q922698,Italy national under-21 football team,1980-01-01T00:00:00Z,1980-01-01T00:00:00Z,Italy
Q174614,Q676899,Italy men's national association football team,1981-01-01T00:00:00Z,1991-01-01T00:00:00Z,Italy
Q174614,Q1543,AC Milan,1987-01-01T00:00:00Z,1992-01-01T00:00:00Z,Italy
Q210491,Q1024397,CSM Reșița,1996-01-01T00:00:00Z,1998-01-01T00:00:00Z,Romania
Q210491,Q7362519,Romania national under-19 football team,1997-01-01T00:00:00Z,1998-01-01T00:00:00Z,Romania
Q210491,Q584629,FCU Craiova 1948,1998-01-01T00:00:00Z,1999-01-01T00:00:00Z,Romania
Q210491,Q2175909,Romania national under-21 football team,1998-01-01T00:00:00Z,2000-01-01T00:00:00Z,Romania
Q210491,Q81888,AFC Ajax,1999-01-01T00:00:00Z,2003-01-01T00:00:00Z,Netherlands
Q210491,Q168397,Romania men's national association football team,1999-01-01T00:00:00Z,2011-01-01T00:00:00Z,Romania
Q210491,Q2739,A.S. Roma,2003-01-01T00:00:00Z,2007-01-01T00:00:00Z,Italy
Q210491,Q631,Inter Milan,2007-01-01T00:00:00Z,2014-01-01T00:00:00Z,Italy
Q262203,Q352251,Adana Demirspor,1969-01-01T00:00:00Z,1974-01-01T00:00:00Z,Turkey
Q262203,Q7855167,Turkey national under-19 football team,1971-01-01T00:00:00Z,1971-01-01T00:00:00Z,Turkey
Q262203,Q1624749,Turkey national under-21 football team,1973-01-01T00:00:00Z,1975-01-01T00:00:00Z,Turkey
Q262203,Q495299,Galatasaray S.K.,1974-01-01T00:00:00Z,1985-01-01T00:00:00Z,Turkey
Q262203,Q483856,Turkey men's national football team,1975-01-01T00:00:00Z,1985-01-01T00:00:00Z,Turkey
Q294351,Q3508932,HNK Borovo,1987-01-01T00:00:00Z,1988-01-01T00:00:00Z,Croatia
Q294351,Q207501,FK Vojvodina,1988-01-01T00:00:00Z,1990-01-01T00:00:00Z,Serbia
Q294351,Q173009,FK Crvena zvezda,1990-01-01T00:00:00Z,1992-01-01T00:00:00Z,Serbia
Q294351,Q1131732,Serbia and Montenegro national football team,1991-01-01T00:00:00Z,2003-01-01T00:00:00Z,Serbia and Montenegro
Q294351,Q188363,Yugoslavia men's national football team,1991-01-01T00:00:00Z,1991-01-01T00:00:00Z,Yugoslavia
Q294351,Q2739,A.S. Roma,1992-01-01T00:00:00Z,1994-01-01T00:00:00Z,Italy
Q294351,Q1457,U.C. Sampdoria,1994-01-01T00:00:00Z,1998-01-01T00:00:00Z,Italy
Q294351,Q2609,SS Lazio,1998-01-01T00:00:00Z,2004-01-01T00:00:00Z,Italy
Q294351,Q631,Inter Milan,2004-01-01T00:00:00Z,2006-01-01T00:00:00Z,Italy
Q294302,Q847587,U.S. Salernitana 1919,1978-01-01T00:00:00Z,1979-01-01T00:00:00Z,Italy
Q294302,Q631,Inter Milan,1978-01-01T00:00:00Z,1994-01-01T00:00:00Z,Italy
