coach_qid,entity_qid,startDate,endDate
Q203781,Q235910,2002-04-11T00:00:00Z,2004-04-30T00:00:00Z
Q203781,Q211177,2004-07-11T00:00:00Z,2005-12-20T00:00:00Z
Q203781,Q186532,2006-01-01T00:00:00Z,2007-11-29T00:00:00Z
Q203781,Q18708,2007-12-30T00:00:00Z,2010-07-01T00:00:00Z
Q203781,Q1130849,2010-07-01T00:00:00Z,2011-01-08T00:00:00Z
Q203781,Q18744,2011-02-14T00:00:00Z,2012-05-14T00:00:00Z
Q203781,Q47762,2012-05-14T00:00:00Z,2016-06-27T00:00:00Z
Q203781,Q19467,2017-09-12T00:00:00Z,2021-05-23T00:00:00Z
Q203781,Q2714,2022-01-25T00:00:00Z,2022-05-22T00:00:00Z
Q203781,Q19467,2023-03-21T00:00:00Z,2024-02-15T00:00:00Z
Q312999,Q1543,,
Q169092,Q1082282,1983-07-01T00:00:00Z,1986-06-30T00:00:00Z
Q169092,Q139399,1986-07-01T00:00:00Z,1987-04-06T00:00:00Z
Q169092,Q2693,1987-07-01T00:00:00Z,1987-10-26T00:00:00Z
Q169092,Q29390,1988-07-01T00:00:00Z,1989-06-01T00:00:00Z
Q169092,Q139399,1989-07-01T00:00:00Z,1994-06-30T00:00:00Z
Q169092,Q2609,1994-07-01T00:00:00Z,1997-01-27T00:00:00Z
Q169092,Q2739,1997-07-01T00:00:00Z,1999-06-06T00:00:00Z
Q169092,Q6601875,1999-10-12T00:00:00Z,2000-03-01T00:00:00Z
Q169092,Q2641,2000-07-01T00:00:00Z,2000-11-15T00:00:00Z
Q169092,Q847587,2001-07-01T00:00:00Z,2002-12-29T00:00:00Z
Q169092,Q298217,2003-07-01T00:00:00Z,2004-06-30T00:00:00Z
Q169092,Q13391,2004-07-01T00:00:00Z,2005-06-30T00:00:00Z
Q169092,Q6651,2006-03-03T00:00:00Z,2006-06-30T00:00:00Z
Q169092,Q13391,2006-07-01T00:00:00Z,2007-01-04T00:00:00Z
Q169092,Q173009,2008-06-17T00:00:00Z,2008-09-07T00:00:00Z
Q169092,Q139399,2010-07-21T00:00:00Z,2011-06-10T00:00:00Z
Q169092,Q2710,2011-06-22T00:00:00Z,2012-06-04T00:00:00Z
Q169092,Q2739,2012-06-04T00:00:00Z,2013-02-02T00:00:00Z
Q169092,Q1900,2014-07-01T00:00:00Z,2014-12-23T00:00:00Z
Q169092,Q1900,2015-03-09T00:00:00Z,2015-04-21T00:00:00Z
Q169092,Q633521,2015-07-01T00:00:00Z,2016-06-30T00:00:00Z
Q169092,Q2710,2017-02-17T00:00:00Z,2018-03-04T00:00:00Z
Q1335292,Q16344,,
Q31575,Q1128631,,
Q31575,Q134916,2023-01-01T00:00:00Z,
Q310078,Q1474354,1945-07-01T00:00:00Z,1948-06-30T00:00:00Z
Q310078,Q10319,1948-07-01T00:00:00Z,1949-06-30T00:00:00Z
Q310078,Q8701,1949-07-01T00:00:00Z,1953-01-26T00:00:00Z
Q310078,Q124518,1953-02-10T00:00:00Z,1953-05-03T00:00:00Z
Q310078,Q8760,1953-07-01T00:00:00Z,1953-12-31T00:00:00Z
Q310078,Q10329,1954-01-01T00:00:00Z,1957-06-30T00:00:00Z
Q310078,Q216510,1957-07-01T00:00:00Z,1958-06-30T00:00:00Z
Q310078,Q7156,1958-04-25T00:00:00Z,1960-06-30T00:00:00Z
Q310078,Q631,1960-07-01T00:00:00Z,1968-06-30T00:00:00Z
Q310078,Q2739,1968-07-01T00:00:00Z,1971-04-05T00:00:00Z
